,Laos
Aeroponics,0
agricultural robot,0
aquaponics,0
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,0
Genetically modified food,0
Genetically modified organism,0
hydroponics,0
Insects as food,0
meat analogue,0
Passive hydroponics,0
Precision agriculture,0
Precision livestock farming,0
Vertical farming,0
arcology,0
Gesture recognition,0
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,0
Carbon dioxide removal,0
Carbon sequestration,0
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,0
4d printing,0
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,0
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,0
Radio-frequency identification,0
Robot end effector,0
self assembly,0
Self-reconfiguring modular robot,0
Smart highway,0
Structural health monitoring,0
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,0
Intelligent tutoring system,0
Learning Management System,0
Mobile learning,0
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,0
E-textiles,0
Electronic skin,0
Flexible display,0
Flexible electronics,0
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,0
laser diode headlights,0
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,0
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,0
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,0
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,0
concentrated solar power,0
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,0
Energy harvesting,0
Floating Liquefied Natural Gas,0
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,0
Gas generator,0
Gas-cooled fast reactor,0
Gasification,0
Generation IV reactor,0
Grid energy storage,0
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,0
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,0
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,0
Oil detection,0
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,0
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,0
Smart grid,0
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,0
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,0
Vortex engine,0
Wireless power transfer,0
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,0
Wearable journalism,0
Cryptocurrency,0
Stablecoin,0
Companion robot,0
Cryonics,0
Extreme Life extension,0
Suspended animation,0
5D DVD,0
5g,0
6G,0
Ambient intelligence,0
Artificial brain,0
Artificial general intelligence,0
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,0
Compressive Sensing,0
Deep learning,0
deep trench capacitor,0
Digital image processing,0
Digital image segmentation,0
Distributed ledger,0
DNA Computing,0
DNA digital data storage,0
Edge Computing,0
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,0
Facial recognition,0
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,0
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,0
Li-Fi,0
Machine translation,0
Machine vision,0
Nanoradio,0
Natural Language Processing,0
Neural Networks,0
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,0
Quantum computing hardware,0
Quantum cryptography,0
Semantic Web,0
Silicon laser for communication,0
Smartphone,0
Spatial computing,0
Streaming television,0
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,0
Virtual reality applications,0
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,0
Amorphous metal,0
Bioplastic,0
Carbon nanotube,0
Conductive polymer,0
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,0
Gallium Nitride semiconductor,0
Graphene,0
Graphene Oxide dough,0
High Entropy Alloys,0
Magnetic nanoparticles,0
Magnetorheological fluid,0
Metal foam,0
Metamaterial,0
Multi-function structure,0
Nanocrystal,0
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,0
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,0
Silicene,0
Single Photon Source,0
Superalloy,0
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,0
Zero-friction coating,0
16K video resolution,0
Augmented reality,0
Brain-computer interface,0
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,0
hydrogen vehicle,0
Immersion (virtual reality),0
Mixed Reality,0
Video tracking,0
Virtual reality,0
3D Bioprinting,0
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,0
Biomimetic Nanocoagulation,0
Biosensor,0
Breath analysis,0
Cancer biomarker,0
Capsule endoscopy,0
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,0
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,0
Microelectromechanical systems,0
Microfluidics,0
Molecular electronics,0
Nanorobotics,0
Neuron Control,0
Neuroprosthetics,0
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,0
Photoacoustic imaging,0
Plasma Medicine,0
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,0
Protein Structure Prediction,0
Rapid diagnostic test,0
Real-time polymerase chain reaction,0
Regenerative Medicine,0
Sensory substitution,0
Single Cell Analysis,0
Stasis Chamber,0
Synthetic Blood,0
Theranostic Wound Care,0
Transdermal optical imaging,0
Active camouflage,0
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,0
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,0
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,0
Quantum illumination,0
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,0
Urban mining,0
Closed system drug transfer device,0
DNA repair,0
Electronic cigarette,0
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,0
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,0
Phage therapy,0
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,0
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,0
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,0
Backpack helicopter,0
Electric vehicle,0
Fuel cell,0
Fuel cell vehicle,0
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,0
Intelligent transportation system,0
Jetpack,0
Maglev,0
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,0
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,0
Hyper-personalized intelligence,0
neuromorphic engineering,0
solid-state battery,0
