,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question
0,"Underground PACER fusion for commercial power generation.Almost a half century ago, Dr. Ralph Moir and Dr. Walter Seifritz proposed PACER power plants for production of for production of commercial electricity. Dr. Seifritz called his version of thermonuclear reactor HACER, a name perhaps intended to point out and emphasize the fact that his thermonuclear power plant included fusion production of hydrogen for transportation use as well as fusion produced electricity. Hydrogen production was a new feature for HACER and differentiated that power plant design from LANL and LLNL PACER fusion.AboveUnderground PACER fusion for commercial power generation.Almost a half century ago, Dr. Ralph Moir and Dr. Walter Seifritz proposed PACER power plants for production of for production of commercial electricity. Dr. Seifritz called his version of thermonuclear reactor HACER, a name perhaps intended to point out and emphasize the fact that his thermonuclear power plant included fusion production of hydrogen for transportation use as well as fusion produced electricity. Hydrogen production was a new feature for HACER and differentiated that power plant design from LANL and LLNL PACER fusion.Above is an artist's conception of a PACER fusion ""energy park ""which shows a large combustion cavern about 1 mile deep and 200 meters in diameter. A deuterium- deuterium fuel charge would be exploded here in the range of a 1 to 20 kiloton TNT yield. The cavity, filled with superheated steam, would absorb and quench the fusion fireball and act as a transport medium to carry thermal energy and by-products.Hacer: A Grand Design for Fusion Powerhttp://wlym.com/archive/fusion/fusion/19801111-fusion.pdfIn the 1950s, after development of the H-bomb, U.S. researchers at LANL and LLNL national laboratories developed a project known as Pacer, aimed at peaceful applications of nuclear explosions. The H- bomb, of course, is typically portrayed as ""uncontrolled"" release of fusion energy using a relatively small fission (A-bomb) trigger. What the Pacer project envisioned was the regular deto­nation of very small fusion bursts optimized for ultra-clean cost effective power generation in carefully designed, steam-filled caverns one mile underground, producing enormous amounts of electricity and, if desired, fissile material for startup of exceptionally clean operating fission reactors like Thorium Molten Salt Reactors or LFTRs.Most appealing about this approach presented by Dr. Seifritz is that there are only minor scientific and technical obstacles to the reali­zation of a Pacer-like power generating systems for harnessing fission-fusion and with only a few additional years of development, pure fusion energy. PACRER fission-fusion power plants could be undertaken immediately, on the basis of field proven existing technology and know-how, guaranteeing com­mercial fusion power within five years in a time frame that matters for solving worldwide climate and energy scarcity problemsWhy were PACER power plants, which would actually been 100X cleaner in terms of production of Minor Actinides and fission product high level nuclear waste, canceled by the Nixon Administration?President Nixon had made campaign promises to the American people to rein in federal spending, and the Nixon Administration searched for ways to trim spending. Leading edge nuclear fusion research, unfortunately, came to the attention of Nixon Administration budget managers and several visionary nuclear technologies then under development including Molten Salt Fission Reactors and PACER fusion were cut as President Nixon tried to keep his promise to the American people in reining in federal spending.In addition, environmental and ""nonproliferation"" arguments were put forward in Congress intending to force discontinuation of the Pacer projects at LANL and LLNL. These arguments, however, lacked technical validity.The underground mounted PACER reactor could be located far away from any community, operate very safely in a conservatively designed underground PACER cavern, and pose no nuclear haz­ards to populated areas of the globe while safely and sustainably producing ultra-clean DD fusion power used to produce commercial electricity.Dr. Ralph Moir led LLL efforts into producing PACER reactors in the mid-1970s.Modern versions of PACER would probably use pure fusion technology.A pure fusion peaceful nuclear explosive (PNE) optimized for ultra-clean power generation is a nuclear device design that does not need a fission ""primary"" to ignite fusion in a secondary stage but rather employs a pure fusion deuterium-tritium primary to ignite a pure deuterium power generating second stage.Pure fusion ICF devices produce small controlled bursts of fusion energy inside of 100 meter deep underground mounted evacuated mini-PACER cavity. When such a small fusion device is initiated inside its stainless steel cylindrical chamber, no shock and no sound is transmitted to the ground above.Vacuum will not permit transmission of sound.Vacuum will not permit transmission of shock.The mini-PACER device produces the Tritium it needs for the DT primary from Tritium produced via the D-D fusion reaction on the preceding shot. Tritium (190 milligrams) need only be supplied from an external source one time on the very first shot. All shots made in the mini-PACER reactor thereafter can be provided from Tritium bred in the reactor from residual Tritium scavenged from the fusion chamber debris left by previous D-D fusion shots. Thus Tritium supply is cheap and sustainable with the modern pure fusion form of PACER ICF; the vast majority of fusion energy produced by the mini-PACER reactor each shot is from cheap and ubiquitous Deuterium fuel separated from sea water.National governments have tended to respond with unreasonable fear to fusion reactor designs that produce power in short controlled fusion bursts. Much less technically mature and more difficult tokamak and stellarator reactors have for decades received funding preferentially over practical demonstrated ICF fusion approaches because they promised smooth power generation from extended continuous fusion burns as opposed to a series of many short, controlled fusion bursts. The reality is that tokamaks and stellarator fusion devices have not in 60 years attained burns producing any significant amount of power for more than a few seconds before the plasma confinement is lost and the fusion reaction stops.Reliable, repeatable, small controlled fusion bursts inside an evacuated chamber designed to safely contain all the radiation generated by fusion reactions is just as safe as the safest magnetic confinement continuous burn experiment. In all cases, the fusion reactions used are the same. Nuclear waste generated are in all cases also the same. Tiny mini-Mike fusion devices are harmless if stolen as they require large stationary lasers or ion beam particle accelerators to ignite them.Underground ICF pure fusion power generation is just as safe as the safest form of fusion that anyone has so far proposed and is a lot more rapidly implementable.Note 1: DOE during the cold war had a well funded and well led program to develop pure fusion experimental devices.(It 	may now be revealed)DOE published in 2001 the following document -RESTRICTED DATA DECLASSIFICATION DECISIONS 1946 TO THE PRESENThttp://www.fas.org/sgp/othergov/doe/rdd-7.htmlcontained in section C of that document are the following facts:Information on the DOE's pure fusion program:(1) Fact that the DOE made a substantial investment in the past to develop a pure fusion experimental explosive device(2) That the U.S. does not have and is not developing a pure fusion weapon; and(3) That no credible design for a pure fusion weapon resulted from the DOE investment. (98-15)(Point 3 may be disputed -Note 2:controlled and uncontrolled –but is this really true?Is there in reality two types of fusion?It is said that in uncontrolled nuclear fusion, vast amounts of energy in uncontrolled manner is released causing destruction only—the hydrogenbomb is an example. Thus uncontrolled nuclear fusion is not viewed as something of use for constructive purpose.It is perceived that in controlled nuclear fusion, the vast energy of fusion reactions is released steadily so it can be used for peaceful purposes, say, for nuclear fusion reactors.But is there really a differenceor is it just a perception?Is it perhaps true that there is really only one type of fusion and depending on the technology and the amount of fuel you use, you get a more or less rapid release of fusion energy.The truth is that during the 1950s, fusion program managers wanting to develop fusion reactors like tokamaks and stellarators sought to dissociate themselves and their fusion technology (good) from thermonuclear fusion weapons technology (bad) which the public feared. The notion of controlled versus uncontrolled fusion was largely public relations and spin employed by AEC fusion program managers to enlist wider public support.While the smoothness and the time of release of energy from fusion may be different, the fusion reactions (Deuterium Tritium or Deuterium-Deuterium) are all the same and the waste products produced (helium and neutrons) are all the same.",829 followers,Robert Gauthier,738,10.6K,3M,https://www.quora.com/Is-it-possible-to-detonate-thermonuclear-devices-in-large-deep-bodies-of-water-to-heat-the-water-then-extract-energy-from-the-heated-water-to-generate-electricity
1,"There as really little more that can be done. TheThen if it works, a preliminary commercial design needs to be built and proven.Then, if that works, we might know how to build viable commercial units. 2075 time frame, last I heard.We might speed that up some by risking several tensThere as really little more that can be done. TheThen if it works, a preliminary commercial design needs to be built and proven.Then, if that works, we might know how to build viable commercial units. 2075 time frame, last I heard.We might speed that up some by risking several tens of billions by skipping steps, but the risks would be high, to the point where no government would dare to chance the downside, and no private enterprise could do it rationally.","3,657 followers",Brent Oster,3.6K,357,1.8M,https://www.quora.com/Is-it-possible-to-detonate-thermonuclear-devices-in-large-deep-bodies-of-water-to-heat-the-water-then-extract-energy-from-the-heated-water-to-generate-electricity
2,"Fusion gives slightly more energy for a given weight of nuclear fuel. Fusion fuels are also more abundant on Earth and in the solar system. Fusion energy also produces far less radioactive waste than fission.Fission and fusion are nuclear transformations of atoms and as a result, release million times more energy than chemical reactions.Fission proceeds by breaking heavier nuclei into lighter onesFusion gives slightly more energy for a given weight of nuclear fuel. Fusion fuels are also more abundant on Earth and in the solar system. Fusion energy also produces far less radioactive waste than fission.Fission and fusion are nuclear transformations of atoms and as a result, release million times more energy than chemical reactions.Fission proceeds by breaking heavier nuclei into lighter ones.Fusion proceeds by joining lighter nuclei into heavier ones.Uranium 235 is directly fissionable, which can be made into a self sustaining reaction by the accumulation of a critical amount of fissile material.A nuclear power plant based on U235 can be built. Such a power plant can be used as a low cost neutron source to transform fertile U238 to fissile Pu239 and to convert fertile Th232 to fissile U233. These generate about 82 trillion joules per kilogram.Here’s what Wikipedia says about abundance of Uranium and Thorium.Naturally occurring uranium is composed of three major isotopes, uranium-238 (99.2739–99.2752% natural abundance), uranium-235 (0.7198–0.7202%), and uranium-234 (0.0050–0.0059%).Thorium [ https://en.wikipedia.org/wiki/Thorium ] is found in small amounts in most rocks and soils [ https://en.wikipedia.org/wiki/Soil ]. Soil commonly contains an average of around 6 parts per million (ppm) of thorium. Thorium occurs in several minerals [ https://en.wikipedia.org/wiki/Mineral ] including thorite [ https://en.wikipedia.org/wiki/Thorite ] (ThSiO4), thorianite [ https://en.wikipedia.org/wiki/Thorianite ] (ThO2 + UO2) and monazite [ https://en.wikipedia.org/wiki/Monazite ]. Thorianite is a rare mineral and may contain up to about 12% thorium oxide. Monazite [ https://en.wikipedia.org/wiki/Monazite ] contains 2.5% thorium, allanite [ https://en.wikipedia.org/wiki/Allanite ] has 0.1 to 2% thorium and zircon [ https://en.wikipedia.org/wiki/Zircon ] can have up to 0.4% thorium. Thorium-containing minerals occur on all continents. Thorium is several times more abundant in Earth's crust than all isotopes of uranium [ https://en.wikipedia.org/wiki/Isotopes_of_uranium ] combined and thorium-232 is several hundred times more abundant than uranium-235.Thorium concentrations near the surface of the earth can be mapped using gamma spectroscopy [ https://en.wikipedia.org/wiki/Gamma_spectroscopy ]. The same technique has been used to detect concentrations on the surface of the Moon; the near side [ https://en.wikipedia.org/wiki/Near_side_of_the_Moon ] has high abundances of relatively thorium-rich KREEP [ https://en.wikipedia.org/wiki/KREEP ], while the Compton–Belkovich Thorium Anomaly [ https://en.wikipedia.org/wiki/Compton%E2%80%93Belkovich_Thorium_Anomaly ] was detected on the far side [ https://en.wikipedia.org/wiki/Far_side_of_the_Moon ]. Martian [ https://en.wikipedia.org/wiki/Mars ] thorium has also been mapped by 2001 Mars Odyssey [ https://en.wikipedia.org/wiki/2001_Mars_Odyssey ].Th232 decays very slowly (its half-life [ https://en.wikipedia.org/wiki/Half-life ] is comparable to the age of the universe) but other thorium isotopes [ https://en.wikipedia.org/wiki/Isotope ] occur in the thorium and uranium decay chains. Most of these are short-lived and hence much more radioactive than Th232, though on a mass basis they are negligibleFusionH-bombs use the Jetter Cycle. This is the only way we have actually released fusion energy on Earth.The Jetter cycle involves two processes that work tog...","220,150 followers",Franklin Veaux,3.1K,47.3K,779.4M,https://www.quora.com/Is-it-possible-to-detonate-thermonuclear-devices-in-large-deep-bodies-of-water-to-heat-the-water-then-extract-energy-from-the-heated-water-to-generate-electricity
3,"Nuclear fusion produces far, far more energy than nuclear fission… and instead of requiring toxic & dangerous uranium, enriched and resulting in many very very dangerous byproducts such as plutonium, all it requires is hydrogen gas, or some other light, benign atom, and it outputs helium, or something almost as harmless.With a single drinking glass of sea-water, you could extract enough deuterium (a hydrogen atom with a neutron along with the single proton in its nucleus), and fuse it into helium, releasing enough energy to power a modern American home for years!The problem, however, is that wNuclear fusion produces far, far more energy than nuclear fission… and instead of requiring toxic & dangerous uranium, enriched and resulting in many very very dangerous byproducts such as plutonium, all it requires is hydrogen gas, or some other light, benign atom, and it outputs helium, or something almost as harmless.With a single drinking glass of sea-water, you could extract enough deuterium (a hydrogen atom with a neutron along with the single proton in its nucleus), and fuse it into helium, releasing enough energy to power a modern American home for years!The problem, however, is that we don’t know how. Well, we don’t know how, without first heating a furnace up to about 100,000,000°C. For comparison, coal power plants burn coal at about 2,000°C, and nuclear fission keeps their fuel rods at between 300 - 600°C.100 million degrees is not possible with current technologies. Well… it is, but it’s not pretty. Modern large-yield nuclear weapons in the megaton range, are actually fusion bombs (as opposed to the atomic bombs dropped on Hiroshima & Nagasaki in WW2, which were fission reaction bombs). Fusion bombs actually have fission “atomic bombs” wrapped around them, and use that nuclear explosion to create the 100 million degree heat required to get the fusion bomb ignited.There are a lot of ongoing experiments, in a lot of different countries, to attempt to make a working fusion reactor which would not require insane amounts of energy to heat up enough to start the fusion reaction, or to develop a process of “cold fusion”, but as of the current day, we do not know of a way to make such a device.","220,150 followers",Franklin Veaux,3.2K,47.3K,779.4M,https://www.quora.com/How-can-we-make-fusion-an-economic-way-to-generate-electricity
4,"Nuclear fission versus nuclear fusion …I’m going to assume you mean the useful kind, that produces more energy than it takes in and not nuclear bombs.… which would provide more energy?Only one of those exists as a means of producing useful energy - fission. Nuclear fusion is still an experiment that doesn’t work.If it's the nuclear fusion that provides a ton more of energy, don't you think that the nuclear fusion could be best in helping us developing energy for space travel?See above. There is no nuclear fusion reactor that makes useful energy.",2 followers,Richard Muller,1.7K,2.3K,201.9M,https://www.quora.com/Nuclear-fission-versus-nuclear-fusion-which-would-provide-more-energy-If-its-the-nuclear-fusion-that-provides-a-ton-more-of-energy-dont-you-think-that-the-nuclear-fusion-could-be-best-in-helping-us-developing-energy
5,"IF controlled nuclear fusion someday becomes a reality (after 70 years of research it’s still a ways off), and yes, it does provide much more energy per unit mass than fission, it will help some with space travel but it won’t be the magic key to get us to the stars. The most energetic reaction we could exploit isD + T —-> He + n + 17.6 MeVor a deuterium and tritium nucleus (total mass: 4693 MeV) fuse producing a helium nucleus, a neutron, and 17.6 MeV of energy. Now IF we were able to extract most of that energy AND channel all of it into propulsive energy to accelerate the ship, AND if we stoIF controlled nuclear fusion someday becomes a reality (after 70 years of research it’s still a ways off), and yes, it does provide much more energy per unit mass than fission, it will help some with space travel but it won’t be the magic key to get us to the stars. The most energetic reaction we could exploit isD + T —-> He + n + 17.6 MeVor a deuterium and tritium nucleus (total mass: 4693 MeV) fuse producing a helium nucleus, a neutron, and 17.6 MeV of energy. Now IF we were able to extract most of that energy AND channel all of it into propulsive energy to accelerate the ship, AND if we stored a huge amount of both D and T in propellant tanks, it still would not get us anywhere close to relativistic speeds. This also presumes that a way will be found to extract the neutron’s energy, which is 80% of the total —- being neutral, it can’t be focused like the He can, thus channeling the neutron’s 14.1 MeV will be a difficult technical challenge. So let’s say your objective is to get to 10% of c (speed of light), meaning a 100 light-year journey to a distant star would take “only” one thousand years, then you’d have to convert mass equal to 0.5% of the ship’s total mass (including fuel) to propulsive energy. If HALF of that mass was D-T fuel, and your energy conversion-propulsion systems were 100% efficient, you’d only be converting 0.5*17.6/4693 = 0.19% of your mass to energy, far short of 0.5%. 0.19% would get the ship to 6.2% of c, a respectable speed BUT that assumes perfect efficiency. Dropping to an overall systems-wide realistic efficiency of 50%, the terminal velocity drops to 4.4% of c (but that’s 8200 miles/second!). However, there would probably be additional propulsive methods employed, such as using giant space-based lasers or solar mirrors to focus onto an ablative rear member that would literally push the ship forward with radiation pressure until it’s out of range, and solar sails that accomplish the same thing, but at a much lower level for a longer period of time. Bottom line, fusion will most likely be a candidate energy source for interstellar propulsion, but it won’t be the final answer.","220,150 followers",Franklin Veaux,1.6K,47.3K,779.4M,https://www.quora.com/Nuclear-fission-versus-nuclear-fusion-which-would-provide-more-energy-If-its-the-nuclear-fusion-that-provides-a-ton-more-of-energy-dont-you-think-that-the-nuclear-fusion-could-be-best-in-helping-us-developing-energy
6,"Fission releases the most energy per reaction; fusion releases more per gram of material. Fusion is hard to get started and nobody knows how you would do it, especially on a spaceship, but space travel can use fission explosions easily without even creating any environmental problems. Space is already radioactive as hell.",UNKNOWN,Viktor T. Toth,1.8K,8.6K,115.1M,https://www.quora.com/Nuclear-fission-versus-nuclear-fusion-which-would-provide-more-energy-If-its-the-nuclear-fusion-that-provides-a-ton-more-of-energy-dont-you-think-that-the-nuclear-fusion-could-be-best-in-helping-us-developing-energy
7,"No. The amount of energy “trapped” in a nucleon is a U-shaped curve bottoming out at Iron-56. If you fuse nuclei lighter than this, you can get energy out. If you split nuclei heavier than this, you can get energy out. But to go past the minimum you have to put energy in, not get it out. Notice that fission reactors use very heavy nuclei such as U-235, while fusion ones use light one such as H-2 and He-3.Sorry, conservation of energy rules. TAANSTAFL.","3,657 followers",Brent Oster,3.6K,357,1.8M,https://www.quora.com/Nuclear-fission-versus-nuclear-fusion-which-would-provide-more-energy-If-its-the-nuclear-fusion-that-provides-a-ton-more-of-energy-dont-you-think-that-the-nuclear-fusion-could-be-best-in-helping-us-developing-energy
8,"Because the amount of fuel locked up in a fusion reactor is one or two second’s worth of energy generation. So in the most catastrophic imaginable accident, the energy and volume of reaction products released into the environment is small enough that it will only affect the reactor site. Whereas a fission reactor has about ten years worth of fuel in it, gradually growing more and more toxic over time. So the amount that can be released in a most catastrophic imaginable accident is huge.Secondly, the products of fusion are few and safe. There will be some radioactive waste generated by irradiatBecause the amount of fuel locked up in a fusion reactor is one or two second’s worth of energy generation. So in the most catastrophic imaginable accident, the energy and volume of reaction products released into the environment is small enough that it will only affect the reactor site. Whereas a fission reactor has about ten years worth of fuel in it, gradually growing more and more toxic over time. So the amount that can be released in a most catastrophic imaginable accident is huge.Secondly, the products of fusion are few and safe. There will be some radioactive waste generated by irradiation of the reactor structure, but this is not a huge volume and relatively easy to handle. Fission, by contrast, generates a vast cocktail of products with a hugely varied chemical and radiological spectrum, requiring a range of cleanup and defence mechanisms.While fusion is not totally clean and safe, it is orders of magnitude below fission in worst-case consequences.","105,625 followers",Dave Consiglio,4.4K,6.8K,91.4M,https://www.quora.com/Nuclear-fission-versus-nuclear-fusion-which-would-provide-more-energy-If-its-the-nuclear-fusion-that-provides-a-ton-more-of-energy-dont-you-think-that-the-nuclear-fusion-could-be-best-in-helping-us-developing-energy
9,"Both can generate large amounts of energy. Problem is they both generate scads of gamma and neutron radiation which is bad for people. The spacecraft would need many tons of lead and plastic shielding and that's a big drawback. Also we have only been able to control nuclear fission, fusion is still only possible for a few nanoseconds inside a fusion bomb.","29,754 followers",Tomaž Vargazon,6.8K,7.6K,248.6M,https://www.quora.com/Nuclear-fission-versus-nuclear-fusion-which-would-provide-more-energy-If-its-the-nuclear-fusion-that-provides-a-ton-more-of-energy-dont-you-think-that-the-nuclear-fusion-could-be-best-in-helping-us-developing-energy
10,"If two light nuclei are collided viciously enough to overcome their repulsion (they are both positively charged) the strong nuclear force takes over and the nuclei combine. This nuclear force attraction releases energy in exactly the same way that if two planets got close enough for their gravity to cause them to combine, that would release energy as they accelerated towards each other.In the case of the D+T reaction used in bombs and being most keenly researched as a possible energy source, the result is a very energetic He-5 nucleus, which very quickly decays into He-4 and a neutron. These tIf two light nuclei are collided viciously enough to overcome their repulsion (they are both positively charged) the strong nuclear force takes over and the nuclei combine. This nuclear force attraction releases energy in exactly the same way that if two planets got close enough for their gravity to cause them to combine, that would release energy as they accelerated towards each other.In the case of the D+T reaction used in bombs and being most keenly researched as a possible energy source, the result is a very energetic He-5 nucleus, which very quickly decays into He-4 and a neutron. These two are propelled violently apart, and 80% of the energy released overall by the fusion reaction is in the speed of this neutron.Whatever this neutron hits is likely to be turned to nuclear waste. That’s why JET was retro-fitted with remote handling equipment, to allow the radioactive chamber lining to be replaced, and why ITER will have this remote handling gear from day one. JET produced far more nuclear waste than a fission reactor would have produced in releasing the same amount of energy.There’s also the problem of providing the Tritium. ITER will use Tritium created in a fission reactor. It is hoped that its successors DEMO and PROTO will produce all of their own Tritium, but they will need to use fission to do so, which will again produce radioactive waste.There are proposals to useSo no, there’s currently no foreseeable way of avoiding the production of this radioactive waste. And yes, I know that’s probably not what you’ve been told.","51,641 followers",Chris Ebbert,1.1K,11.4K,277.7M,https://www.quora.com/Nuclear-fission-versus-nuclear-fusion-which-would-provide-more-energy-If-its-the-nuclear-fusion-that-provides-a-ton-more-of-energy-dont-you-think-that-the-nuclear-fusion-could-be-best-in-helping-us-developing-energy
11,"China is developing an extensive range of nuclear reactors. China has had an advanced nuclear industry for many years. Safety is a high priority. They have just produced plasma in a fusion research reactor at twice the heat of the sun for 100 seconds. The world record. Temperatures that would destroy a fission reactor. But much safer. Some parts of China are at risk of earthquakes and tsunamis.China is leading the world in developing working Generation 4 nuclear reactors. Generation 4 reactors are designs that are highly resistant to meltdowns. China has just started operation of a gas-cooledChina is developing an extensive range of nuclear reactors. China has had an advanced nuclear industry for many years. Safety is a high priority. They have just produced plasma in a fusion research reactor at twice the heat of the sun for 100 seconds. The world record. Temperatures that would destroy a fission reactor. But much safer. Some parts of China are at risk of earthquakes and tsunamis.China is leading the world in developing working Generation 4 nuclear reactors. Generation 4 reactors are designs that are highly resistant to meltdowns. China has just started operation of a gas-cooled pebble bed reactor prototype. The heat resistant fuel pebbles tolerate much higher heat than current PWR reactors commonly in use. Temperatures that would melt solid Uranium fuel rods.China is trying to find the worlds best technology for nuclear power because it is planning to build over 50 nuclear reactors to meet its fast-growing energy needs. China is the worlds second-largest investor in renewable energy technology but renewable energy will not be able to meet its energy demands. China also is the worlds largest supplier of rare earth minerals that are vital for renewable energy technologies.China is also developing a Molten Salt Reactor, MSR, and a Traveling-Wave Reactor, TWR, prototype. These reactors are much safer than current reactors and produce much less waste. Actually both of these reactors can operate on nuclear waste as fuel. And the MSR can operate on mining waste.These Generation 4 reactors do not use high-pressure water cooling or solid fuel rods. They are also much easier to operate than current reactor types. MSR reactors can turn themselves off safely if they overheat, without need for external power or pumps. The liquid fuels can be completely drained from the reactor automatically and drained into a safe cooling tank. No accident like Fukushima or Chernobyl is possible.Generation 4 reactors may be a vital option s for low carbon energy in future.","105,625 followers",Dave Consiglio,4.4K,6.8K,91.4M,https://www.quora.com/Is-it-possible-to-detonate-thermonuclear-devices-in-large-deep-bodies-of-water-to-heat-the-water-then-extract-energy-from-the-heated-water-to-generate-electricity
12,"Yes, security is the first concern while building a nuclear power plant.Nuclear power plant likes commercial flight in a way: Both are the safest but most fatal. How to make it safer? The answer is MORE. More nuclear power plants mean more employees, more practices, more sophisticated management, and more chances to find flaws.","43,139 followers",Misha Firer,4K,1.3K,132.5M,https://www.quora.com/How-can-we-make-fusion-an-economic-way-to-generate-electricity
